,Train loss,Test loss
0,58.59761821227075,34.08729339834461
1,32.65825960976978,33.90031947528415
2,29.072382086324513,33.006621623430696
3,25.568570999073216,32.35640450642892
4,21.916855050616512,22.407964101151745
5,19.765358568373177,22.829703676910206
6,18.485299042187936,18.536694733274732
7,17.907285784817297,18.285502662841964
8,17.490448207283574,18.122563705298216
9,17.281750540132137,17.645368895635322
10,17.21971377468759,17.92511283606088
11,17.154759115205344,17.38900256364762
12,17.15733058134198,17.42026936588738
13,17.034524869742768,17.45269797245916
14,17.05297541285107,17.368492379783376
15,17.044752144243827,17.299662895567536
16,17.021813736399796,17.376197225115998
17,17.04149159023293,17.368964241729095
18,17.005394496181037,17.521200110916975
19,17.04295146983362,17.507872782628045
20,16.977106644100264,17.371716601113853
21,17.00442666353041,17.532824706722064
22,17.092500946466583,17.365847140698264
23,17.120593812920653,17.462191639592387
24,17.15424730384853,17.406607810532044
25,16.985746297039857,17.469688049485523
26,17.042727537160236,17.47760179450016
27,17.105963141725535,17.537916499205718
28,17.042188230333156,17.43449936557451
29,17.056223046612473,17.58195669400749
30,17.07939343081623,17.481678466255264
31,17.10800887832868,17.45301199778934
32,17.05129229924238,17.49609763004168
33,17.079178274458542,17.424177873000858
34,16.983549578379407,17.45998125379206
35,17.053106169164124,17.44833598368789
36,17.061541304534458,17.375622179713424
37,17.15204200670149,17.450888082590428
38,17.138827519606,17.383027168673443
39,17.03444585543842,17.541332843761392
40,17.014568899877656,17.486220289322773
41,17.076302738353554,17.438542772272772
42,17.097275094425825,17.444801394071664
43,16.9819672667219,17.49496188259428
44,17.054250313171885,17.55300301394613
45,17.05201040463693,17.520678944610765
46,17.077697654230885,17.46508851166837
47,17.024584657309592,17.484997039115775
48,17.08827321841676,17.512795812965816
49,17.02542648475021,17.49682924906005
50,17.0673088825319,17.39067658207458
51,17.06933445876871,17.272987635833655
52,17.052407909732924,17.436506856555415
53,17.045054058168844,17.490160932953465
54,17.076625531357934,17.48730352308389
55,17.11810609322739,17.444570498431737
56,16.954318192079537,17.49546100006634
57,17.064227285454873,17.407544908161277
58,17.03057155445943,17.385668158296916
59,16.99487488294883,17.422482111706277
