,epoch,batchNum,Train Loss,Train_loss
0,1.0,0.0,,132.10398759448032
1,1.0,1.0,,67.77727027173543
2,1.0,2.0,,114.9817074487261
3,1.0,3.0,,34.81973172215591
4,1.0,4.0,,34.53952260197313
5,1.0,5.0,,59.34858223577883
6,1.0,6.0,,203.10713202606232
7,1.0,7.0,,126.67377060124251
8,1.0,8.0,,121.38198741069775
9,1.0,9.0,,112.47878395709779
10,1.0,10.0,,97.01972857684657
11,1.0,11.0,,41.093550012926976
12,1.0,12.0,,50.88390383030615
13,1.0,13.0,,110.51909486546901
14,1.0,14.0,,94.76555557699398
15,1.0,15.0,,43.13536024766862
16,1.0,16.0,,74.01997527627411
17,1.0,17.0,,109.80266553194217
18,1.0,18.0,,102.4114171030796
19,1.0,19.0,,68.90731580345854
20,1.0,20.0,,36.045161737117795
21,1.0,21.0,,37.87378688522392
22,1.0,22.0,,36.209626980444824
23,1.0,23.0,,37.42215613350013
24,1.0,24.0,,73.82844654202924
25,1.0,25.0,,36.06637327317832
26,1.0,26.0,,45.357510480636705
27,1.0,27.0,,49.84479377986791
28,1.0,28.0,,80.79380458970314
29,1.0,29.0,,40.19107203721519
30,1.0,30.0,,49.22643313401845
31,1.0,31.0,,83.31336329338782
32,1.0,32.0,,45.21731461329607
33,1.0,33.0,,44.91112428320564
34,1.0,34.0,,82.52670791847939
35,1.0,35.0,,35.821018796760185
36,1.0,36.0,,34.29637377667152
37,1.0,37.0,,46.58479886045228
38,1.0,38.0,,57.896635535509475
39,1.0,39.0,,93.33385216722597
40,1.0,40.0,,63.15816163612565
41,1.0,41.0,,34.76748058380013
42,1.0,42.0,,37.42611608440118
43,1.0,43.0,,42.05416307854404
44,1.0,44.0,,64.32653648169635
45,1.0,45.0,,33.63700251493927
46,1.0,46.0,,34.58701333199201
47,1.0,47.0,,34.572187109789475
48,1.0,48.0,,39.713103472764544
49,1.0,49.0,,70.51536066215269
50,1.0,50.0,,32.18827214274327
51,1.0,51.0,,42.18071479615926
52,1.0,52.0,,59.605525302868
53,1.0,53.0,,35.70804809620091
54,1.0,54.0,,32.9451301303071
55,1.0,55.0,,32.43210327357834
56,1.0,56.0,,48.18624902356197
57,1.0,57.0,,80.92991924592641
58,1.0,58.0,,46.06126062638643
59,1.0,59.0,,51.85947266080724
60,1.0,60.0,,70.03503151892595
61,1.0,61.0,,35.06715282371762
62,1.0,62.0,,41.54007222469469
63,1.0,63.0,,47.06703947423084
64,1.0,64.0,,42.85614480656352
65,1.0,65.0,,66.57677032827999
66,1.0,66.0,,31.627984363558305
67,1.0,67.0,,35.06091082227591
68,1.0,68.0,,33.27432270929262
69,1.0,69.0,,44.333963323049744
70,1.0,70.0,,36.582250308730224
71,1.0,71.0,,54.45961849028608
72,1.0,72.0,,30.974520956353047
73,1.0,73.0,,35.745300737017324
74,1.0,74.0,,42.64609691779474
75,1.0,75.0,,72.11079338653106
76,1.0,76.0,,34.74069669024445
77,1.0,77.0,,31.428951792937582
78,2.0,0.0,,31.515608227527345
79,2.0,1.0,,39.77184708788269
80,2.0,2.0,,36.570154525805506
81,2.0,3.0,,45.434452660213594
82,2.0,4.0,,53.2245788822559
83,2.0,5.0,,80.78518732614674
84,2.0,6.0,,45.51699260621409
85,2.0,7.0,,37.805862648750114
86,2.0,8.0,,47.011809524238025
87,2.0,9.0,,38.5032090429562
88,2.0,10.0,,55.04057432654674
89,2.0,11.0,,41.92741035589678
90,2.0,12.0,,62.857306681808296
91,2.0,13.0,,31.430932926156956
92,2.0,14.0,,36.91778345356697
93,2.0,15.0,,33.3204011568689
94,2.0,16.0,,46.93536110278143
95,2.0,17.0,,41.53652386690595
96,2.0,18.0,,68.74573589626895
97,2.0,19.0,,36.24261826102705
98,2.0,20.0,,36.512520307619255
99,2.0,21.0,,52.8284680363861
100,2.0,22.0,,30.099399319182265
101,2.0,23.0,,34.637305685441284
102,2.0,24.0,,33.608739040098314
103,2.0,25.0,,43.681365931870616
104,2.0,26.0,,37.9171562208979
105,2.0,27.0,,53.71084934612121
106,2.0,28.0,,38.200123571094494
107,2.0,29.0,,34.08207815180925
108,2.0,30.0,,29.737805750640476
109,2.0,31.0,,34.906866058710506
110,2.0,32.0,,35.15026097899757
111,2.0,33.0,,36.748764516120005
112,2.0,34.0,,43.399023453384686
113,2.0,35.0,,37.44559064662597
114,2.0,36.0,,58.946752612379065
115,2.0,37.0,,32.80088208477551
116,2.0,38.0,,34.698720184762934
117,2.0,39.0,,35.40929732707676
118,2.0,40.0,,37.74818768167794
119,2.0,41.0,,35.59125861151676
120,2.0,42.0,,44.344764188466435
