,Train loss,Test loss
0,59.42778153175473,36.32884664149967
1,39.84170918612728,41.61951395366356
2,35.287242206719114,254.60803690936373
3,33.01555524480908,31.85160732820647
4,33.2936693184523,29.16157923037366
5,28.566487760158154,27.3971820029756
6,26.071872022676494,32.89412750865616
7,24.792335106695734,45.81675943842018
8,22.913839491303182,33.40431604638845
9,20.50807927011361,36.68373286203126
10,20.18018418048017,20.36477102742764
11,18.11860623345781,28.753382104474092
12,18.14854824583655,42.09547692018854
13,17.60211308336837,61.54506280407738
14,17.33906771985512,33.781712320110515
15,16.498083186057965,35.2051770822716
16,15.902373035454312,21.37355509639515
17,13.223504751199552,14.133072779915237
18,12.80507982404691,15.227001050959032
19,12.718007143161971,17.898398312406037
20,12.42383399795857,14.63615251956
21,12.221429423414166,14.729573476170057
22,12.211608769556412,16.052986178694553
23,12.19379624328007,17.46480785922459
24,11.417871110929527,13.591855539181479
25,10.969264476110924,13.630284496010058
26,10.929829994335021,15.211827744421962
27,10.982542878187404,14.337088627113964
28,10.796768404658357,13.70843206937625
29,10.63879248787554,13.740949524244812
30,10.68568327245578,13.785516774317022
31,10.323318713100843,13.700085356046678
32,10.182143689477767,13.484949143285299
33,10.205598289975134,13.683914669605917
34,10.091163382428482,13.803705812954675
35,10.046070811251123,13.59036595870583
36,10.03097760454382,13.582099465356656
37,10.246768140828747,13.593494940462767
38,10.140680078030003,13.632646843821364
39,9.815467394484024,13.607363510941406
40,9.778286451851105,13.604409267405753
41,9.791424969032603,13.68111448594899
42,9.977069438985053,13.620469980346284
43,9.737581059331013,13.684516721786116
44,9.827630093667798,13.612816060705343
45,9.735012992058861,13.580798967978332
46,9.858298749669384,13.669994621117226
47,9.681649762193635,13.623160796750826
48,9.8619956738347,13.65250221798012
49,9.708693454362837,13.710922731037776
50,9.8566328925321,13.485621095656981
51,9.751424436194677,13.492673926879405
52,9.734265870504176,13.70438666321344
53,9.777553324750706,13.695375129057727
54,9.75648469712428,13.575999817939566
55,9.889417241002244,13.596757438677587
56,9.65330123614611,13.627233611995447
57,9.799432303853397,13.681727183457319
58,9.64221828505302,13.540483285121969
59,9.640398084917027,13.616963148585056
