,Train loss,Test loss
0,53.69069582769407,59.8497784580427
1,27.610054427137996,53.41967268717581
2,23.124118226635677,20.93984577601085
3,18.78785499422942,39.214637679123115
4,17.222671855835912,17.381311841704846
5,16.108805693986792,16.532672294661076
6,15.43326599813746,19.194872626932458
7,14.86907437588914,22.03915587377076
8,14.249096050299453,15.833454161718299
9,14.038627992970019,14.888059836722398
10,13.581275762454622,16.099807771141446
11,13.331847986972157,14.310164736072664
12,13.168528738501726,13.754096075944602
13,12.922808028429577,13.78030586145266
14,13.01360017186981,14.555603603101655
15,12.763148766122267,13.67840710061738
16,12.893546968277676,13.57728305431435
17,12.637245593828451,13.718196392718264
18,12.639032747612825,13.572502374517917
19,12.673112394239919,13.632165369666115
20,12.7232230015543,13.559558412181712
21,12.540364248815635,13.587588319001282
22,12.684233126214465,13.628443429670556
23,12.504033253490958,13.631895977113993
24,12.613001465196188,13.659301700780366
25,12.638455585613748,13.638539233854782
26,12.602110128500815,13.642213949750344
27,12.659359164094875,13.602429179334216
28,12.597930802471776,13.607817929165895
29,12.718537103477043,13.605911514864605
30,12.556851428772664,13.646562656062923
31,12.676239144119874,13.587788698659374
32,12.700727566108151,13.638270550963233
33,12.60311501495225,13.576670054441102
34,12.58721978249077,13.563749365468881
35,12.59323071543217,13.531739117081266
36,12.498551069552011,13.514136319866116
37,12.609997366652468,13.590685226224608
38,12.589067406508454,13.602135016359723
39,12.648670741447926,13.594099845924138
40,12.533731037941935,13.590973401700758
41,12.554338826239107,13.708562789633445
42,12.635550232007947,13.594253090142406
43,12.655177711731282,13.640046148993529
44,12.641059443061431,13.624725306565116
45,12.569179042719862,13.615448801190341
46,12.639578144850313,13.663636153884838
47,12.640471994807521,13.485248253717446
48,12.623459497549211,13.629810335140187
49,12.66525043377001,13.639530255713797
50,12.618652636290834,13.696101657505231
51,12.612044655391378,13.57834773273367
52,12.593324489026587,13.633812733541502
53,12.76088642445983,13.672227061792597
54,12.654557082715737,13.591387975696456
55,12.66329128124805,13.646300659209844
56,12.555395321580255,13.623741293738927
57,12.621017575180966,13.595382021273231
58,12.615786782776283,13.622332715117443
59,12.717989811208527,13.588418086936057
