,epoch,batchNum,Train Loss,Train_loss
0,1.0,0.0,,132.10398759448032
1,1.0,1.0,,67.77727027173545
2,1.0,2.0,,114.98170744872641
3,1.0,3.0,,34.81973172215577
4,1.0,4.0,,34.5395226019711
5,1.0,5.0,,59.34858223577616
6,1.0,6.0,,203.1071320260653
7,1.0,7.0,,126.67377060124228
8,1.0,8.0,,121.3819874107036
9,1.0,9.0,,112.47878395711031
10,1.0,10.0,,97.01972857688978
11,1.0,11.0,,41.09355001297294
12,1.0,12.0,,50.88390383012742
13,1.0,13.0,,110.51909486548614
14,1.0,14.0,,94.765555577054
15,1.0,15.0,,43.13536024778013
16,1.0,16.0,,74.01997527580453
17,1.0,17.0,,109.80266553194689
18,1.0,18.0,,102.41141710309536
19,1.0,19.0,,68.90731580350726
20,1.0,20.0,,36.04516173714313
21,1.0,21.0,,37.873786885202975
22,1.0,22.0,,36.209626980504396
23,1.0,23.0,,37.422156133349915
24,1.0,24.0,,73.82844654210045
25,1.0,25.0,,36.06637327310961
26,1.0,26.0,,45.35751048070928
27,1.0,27.0,,49.84479377965199
28,1.0,28.0,,80.79380458974752
29,1.0,29.0,,40.19107203731862
30,1.0,30.0,,49.226433133658915
31,1.0,31.0,,83.31336329480918
32,1.0,32.0,,45.217314615367115
33,1.0,33.0,,44.911124279930235
34,1.0,34.0,,82.52670791429426
35,1.0,35.0,,35.821018792899174
36,1.0,36.0,,34.29637378072272
37,1.0,37.0,,46.58479885176887
38,1.0,38.0,,57.896635533946515
39,1.0,39.0,,93.33385211553443
40,1.0,40.0,,63.15816148278337
41,1.0,41.0,,34.76748157363336
42,1.0,42.0,,37.426117795264176
43,1.0,43.0,,42.05416251259463
44,1.0,44.0,,64.32653272824346
45,1.0,45.0,,33.637011740357444
46,1.0,46.0,,34.58724661006157
47,1.0,47.0,,34.57116934269068
48,1.0,48.0,,39.71398998853032
49,1.0,49.0,,70.52906610824833
50,1.0,50.0,,32.202331782056845
51,1.0,51.0,,42.15644003255129
52,1.0,52.0,,58.18949853755409
53,1.0,53.0,,35.7321657429407
54,1.0,54.0,,32.66238794395522
55,1.0,55.0,,30.090812136278217
56,1.0,56.0,,37.40807467135331
57,1.0,57.0,,39.11027545173877
58,1.0,58.0,,61.37604591944579
59,1.0,59.0,,35.10732787669954
60,1.0,60.0,,39.35155688540292
61,1.0,61.0,,36.39901546467367
62,1.0,62.0,,56.410382174848074
63,1.0,63.0,,31.374947460184792
64,1.0,64.0,,36.564041079191526
65,1.0,65.0,,35.95764617912765
66,1.0,66.0,,40.536417811851905
