,Train loss,Test loss,AccTrain,AccTest
0,-24238543.74320288,-74152335.04870792,0.46955128205128205,1145.0
1,-187862785.5356461,-283959667.88742805,0.49328926282051283,1351.0
2,-421814960.558442,-539626805.7707522,0.5423677884615384,1351.0
3,-634633395.2974792,-727410607.6233118,0.5419671474358975,1360.0
4,-801769129.0370873,-896367970.2642523,0.5423677884615384,1358.0
5,-925928686.4178971,-1018107147.6448561,0.5422676282051282,1346.0
6,-1014481698.6292752,-1045994362.8363799,0.5420673076923077,1346.0
7,-1076692201.4100173,-1107824909.882202,0.5420673076923077,1357.0
8,-1120379750.029616,-1147149026.8676338,0.5423677884615384,1341.0
9,-1150375564.8035839,-1160237134.1717193,0.5423677884615384,1349.0
10,-1171273734.1657445,-1178840993.528481,0.5420673076923077,1359.0
11,-1185679364.420963,-1193094568.6347835,0.5420673076923077,1355.0
12,-1195597795.6128447,-1198323460.3073406,0.5420673076923077,1343.0
13,-1202498449.0487494,-1204637354.0483167,0.5423677884615384,1341.0
14,-1207251295.5183334,-1208538357.876354,0.5422676282051282,1355.0
15,-1210550354.6537535,-1211673636.317643,0.5425681089743589,1341.0
16,-1212841934.0741816,-1214514973.9335814,0.5422676282051282,1348.0
17,-1214423218.9710906,-1214258798.1139839,0.5418669871794872,1343.0
18,-1215531173.9578905,-1215350376.9088013,0.542167467948718,1353.0
19,-1216295790.479876,-1215206812.5169249,0.5417668269230769,1348.0
20,-1216825726.9225504,-1217557370.3487504,0.5422676282051282,1344.0
21,-1217200908.2993536,-1216560519.7572107,0.5424679487179487,1351.0
22,-1217465961.511264,-1217797268.2176356,0.5420673076923077,1347.0
23,-1217639521.150233,-1216638042.3892744,0.5423677884615384,1350.0
24,-1217760133.0669377,-1216467794.6449478,0.5425681089743589,1346.0
25,-1217853055.8770478,-1216985463.5537493,0.5423677884615384,1345.0
26,-1217916891.0529714,-1215805525.9054866,0.542167467948718,1339.0
27,-1217960336.1349406,-1217599396.6573226,0.542167467948718,1351.0
28,-1217989577.9532213,-1217749291.4042869,0.5425681089743589,1343.0
29,-1218006799.718614,-1218122830.8623855,0.5420673076923077,1351.0
30,-1218024543.372422,-1218169959.5373175,0.5419671474358975,1355.0
31,-1218033150.209613,-1217558592.5698476,0.542167467948718,1349.0
32,-1218047349.2586863,-1216703552.3097024,0.5424679487179487,1343.0
33,-1218050342.2303145,-1217170118.3913467,0.542167467948718,1349.0
34,-1218053396.24008,-1217156996.347039,0.5418669871794872,1363.0
35,-1218053545.9790294,-1217162099.3418016,0.5420673076923077,1359.0
36,-1218052612.6216486,-1217785644.6223357,0.5422676282051282,1353.0
37,-1218052854.3405685,-1216624594.7505927,0.5423677884615384,1348.0
38,-1218058884.0476742,-1217245638.3258138,0.5420673076923077,1360.0
39,-1218059553.5807045,-1217471677.6734726,0.542167467948718,1350.0
40,-1218056758.345882,-1218668578.8353877,0.5422676282051282,1345.0
41,-1218053997.2079976,-1217202789.9618206,0.5423677884615384,1350.0
42,-1218053651.375499,-1217780908.1211782,0.5422676282051282,1347.0
43,-1218058174.4580607,-1218103529.535152,0.5422676282051282,1338.0
44,-1218055205.4418526,-1216615891.37735,0.5417668269230769,1348.0
45,-1218061504.588998,-1217228661.5610616,0.5423677884615384,1353.0
46,-1218063351.1955743,-1218889941.8692796,0.5420673076923077,1356.0
47,-1218056655.2193098,-1217698900.3241363,0.5419671474358975,1347.0
48,-1218054113.7832084,-1217654293.8517122,0.5420673076923077,1353.0
49,-1218058988.1162636,-1217411246.9599676,0.5418669871794872,1353.0
50,-1218058595.13108,-1216581717.2018015,0.5423677884615384,1347.0
51,-1218053682.668594,-1218318393.7941036,0.5420673076923077,1345.0
52,-1218059949.3372574,-1216930398.7409403,0.5423677884615384,1349.0
53,-1218059345.9475913,-1216900462.6155794,0.5419671474358975,1353.0
54,-1218048508.5382302,-1217315372.4314992,0.5423677884615384,1354.0
55,-1218064007.5716832,-1217400263.8689778,0.5424679487179487,1353.0
56,-1218056029.0276678,-1216633427.626399,0.5422676282051282,1350.0
57,-1218057198.1489644,-1217281126.6627085,0.5427684294871795,1355.0
58,-1218059668.3072286,-1217765480.7041564,0.5424679487179487,1354.0
59,-1218062017.567106,-1217262315.3510323,0.5422676282051282,1344.0
