,Train loss,Test loss,AccTrain,AccTest
0,-6587572.643727414,-24190300.836180575,0.534354967948718,1348.0
1,-49706113.97793212,-82811844.00727972,0.5420673076923077,1348.0
2,-110501129.07764637,-142606293.71611845,0.5422676282051282,1341.0
3,-165709787.33976194,-191104380.74666646,0.5420673076923077,1354.0
4,-209120040.6102731,-228069522.8607398,0.5420673076923077,1352.0
5,-241156689.84249267,-254784211.85644257,0.5419671474358975,1357.0
6,-264062881.44293946,-273670523.07287854,0.5419671474358975,1351.0
7,-280166366.1123981,-286866155.11841905,0.5424679487179487,1340.0
8,-291385229.7444108,-296033462.75357485,0.5420673076923077,1354.0
9,-299165070.32791847,-302380157.3707081,0.5420673076923077,1355.0
10,-304548743.1450874,-306768686.8222896,0.5423677884615384,1354.0
11,-308270936.40212184,-309801151.3215666,0.542167467948718,1348.0
12,-310844918.1290652,-311902517.00414646,0.5423677884615384,1360.0
13,-312625636.6159441,-313352661.3899342,0.5422676282051282,1349.0
14,-313858613.8447473,-314358775.0891476,0.5422676282051282,1348.0
15,-314713030.9232253,-315056421.79740506,0.5420673076923077,1347.0
16,-315305970.96720046,-315539913.02858233,0.5423677884615384,1344.0
17,-315717504.8603018,-315875658.15371114,0.5423677884615384,1341.0
18,-316003333.8966916,-316111630.7557213,0.542167467948718,1351.0
19,-316202209.65892816,-316274899.5323688,0.5422676282051282,1354.0
20,-316340663.1579689,-316390105.9484797,0.5424679487179487,1363.0
21,-316436933.2876555,-316464772.39737463,0.5423677884615384,1344.0
22,-316503872.5086337,-316519285.21291363,0.5420673076923077,1342.0
23,-316550803.77512467,-316556739.21553177,0.5423677884615384,1338.0
24,-316583252.1970045,-316587133.59865427,0.5420673076923077,1355.0
25,-316606110.26782656,-316604898.7217678,0.5422676282051282,1351.0
26,-316621930.94856274,-316617278.15072775,0.542167467948718,1348.0
27,-316632957.7206803,-316626355.19640476,0.5420673076923077,1348.0
28,-316640857.5488364,-316634442.2704694,0.5423677884615384,1356.0
29,-316646152.31803435,-316637544.6195152,0.542167467948718,1350.0
30,-316649763.9921525,-316640447.9259942,0.5418669871794872,1349.0
31,-316652618.4306725,-316644334.15999395,0.5422676282051282,1357.0
32,-316654352.54606533,-316643023.4591128,0.5420673076923077,1344.0
33,-316655694.74669504,-316645850.2459853,0.542167467948718,1352.0
34,-316656595.015802,-316646553.75932926,0.542167467948718,1352.0
35,-316657061.4115502,-316647531.742315,0.5418669871794872,1354.0
36,-316657718.75761116,-316646782.50458527,0.5422676282051282,1349.0
37,-316658080.7840092,-316646999.5650415,0.5423677884615384,1349.0
38,-316658295.9538468,-316649592.6634688,0.5423677884615384,1360.0
39,-316658283.4511856,-316648216.68979275,0.5420673076923077,1353.0
40,-316658334.3723789,-316646978.6103287,0.5419671474358975,1347.0
41,-316658407.99345195,-316647273.5943625,0.5419671474358975,1348.0
42,-316658731.12730896,-316647091.5709692,0.5424679487179487,1347.0
43,-316658658.4966314,-316647312.0620628,0.5422676282051282,1348.0
44,-316658738.0260947,-316649529.85482436,0.5423677884615384,1358.0
45,-316658647.0039893,-316647168.3947043,0.542167467948718,1347.0
46,-316658387.7049979,-316648241.5334363,0.5416666666666666,1352.0
47,-316658776.6277472,-316647625.3676333,0.5423677884615384,1349.0
48,-316658836.99475694,-316648247.2953422,0.5424679487179487,1352.0
49,-316658569.58376694,-316649140.7686921,0.5419671474358975,1356.0
50,-316658844.1783549,-316648257.7800386,0.5424679487179487,1352.0
51,-316658411.6308998,-316646971.0415137,0.5416666666666666,1346.0
52,-316658576.0600093,-316647393.6294573,0.5419671474358975,1348.0
53,-316658903.03778833,-316648056.6275941,0.5425681089743589,1351.0
54,-316658849.4177015,-316649146.1601766,0.5424679487179487,1356.0
55,-316658904.24294186,-316646761.9275785,0.5425681089743589,1345.0
56,-316658741.6083337,-316648285.72576165,0.5422676282051282,1352.0
57,-316658524.54219055,-316647864.5975233,0.5418669871794872,1350.0
58,-316658633.3665951,-316646968.4120856,0.5420673076923077,1346.0
59,-316658687.81262,-316650426.0180138,0.542167467948718,1362.0
