,epoch,batchNum,Train loss,AccPBatch
0,1.0,0.0,0.23092872807293877,0.5078125
1,1.0,1.0,-1101.6748143769087,0.5625
2,1.0,2.0,-3646.3322887953764,0.4765625
3,1.0,3.0,-8391.024966160023,0.546875
4,1.0,4.0,-15552.121417259545,0.515625
5,1.0,5.0,-25251.419980508563,0.5859375
6,1.0,6.0,-38006.306157691106,0.5625
7,1.0,7.0,-54216.94388019378,0.5234375
8,1.0,8.0,-74092.57276846476,0.515625
9,1.0,9.0,-98333.01557192681,0.546875
10,1.0,10.0,-126556.90969867707,0.5078125
11,1.0,11.0,-161005.0058225754,0.578125
12,1.0,12.0,-199851.63206400952,0.4765625
13,1.0,13.0,-244029.74863964177,0.5625
14,1.0,14.0,-293498.6485882773,0.515625
15,1.0,15.0,-349398.8354368781,0.5234375
16,1.0,16.0,-412197.2151482825,0.578125
17,1.0,17.0,-481434.81103866315,0.5390625
18,1.0,18.0,-557053.3223164704,0.4921875
19,1.0,19.0,-637973.8842211934,0.5546875
20,1.0,20.0,-721171.0887780762,0.484375
21,1.0,21.0,-823713.3236889467,0.6171875
22,1.0,22.0,-928274.1095155448,0.4765625
23,1.0,23.0,-1041735.1062332094,0.5390625
24,1.0,24.0,-1163292.2320962665,0.6015625
25,1.0,25.0,-1292622.8392668865,0.5234375
26,1.0,26.0,-1431191.0850341283,0.5078125
27,1.0,27.0,-1577932.673119196,0.46875
28,1.0,28.0,-1734764.047272685,0.5390625
29,1.0,29.0,-1900123.322978672,0.640625
30,1.0,30.0,-2074023.2465500867,0.546875
31,1.0,31.0,-2256403.490533059,0.46875
32,1.0,32.0,-2450415.350198858,0.5390625
33,1.0,33.0,-2653689.6261163424,0.578125
34,1.0,34.0,-2866518.619685375,0.5546875
35,1.0,35.0,-3089620.177891963,0.53125
36,1.0,36.0,-3323732.468007796,0.5703125
37,1.0,37.0,-3566603.113121714,0.5234375
38,1.0,38.0,-3821355.561867261,0.578125
39,1.0,39.0,-4085692.9394497387,0.5234375
40,1.0,40.0,-4363126.824122606,0.5546875
41,1.0,41.0,-4649328.042953252,0.5078125
42,1.0,42.0,-4947197.72088432,0.5
43,1.0,43.0,-5257611.064116019,0.546875
44,1.0,44.0,-5577104.8542064065,0.4765625
45,1.0,45.0,-5910371.881173618,0.53125
46,1.0,46.0,-6254428.755925901,0.5234375
47,1.0,47.0,-6609382.56822572,0.5
48,1.0,48.0,-6976917.690708251,0.5625
49,1.0,49.0,-7354657.623562774,0.5078125
50,1.0,50.0,-7745658.811685181,0.546875
51,1.0,51.0,-8147746.96889874,0.5078125
52,1.0,52.0,-8561804.118030252,0.46875
53,1.0,53.0,-8988207.10961798,0.515625
54,1.0,54.0,-9426284.601610582,0.3671875
55,1.0,55.0,-9877120.608510371,0.375
56,1.0,56.0,-10340114.219611438,0.5859375
57,1.0,57.0,-10815722.00195669,0.6328125
58,1.0,58.0,-11301470.554153746,0.53125
59,1.0,59.0,-11802061.632866643,0.5703125
60,1.0,60.0,-12313779.691605981,0.5625
61,1.0,61.0,-12836877.210112708,0.5390625
62,1.0,62.0,-13369730.249954002,0.484375
63,1.0,63.0,-13929629.591720067,0.625
64,1.0,64.0,-14482580.896890204,0.5078125
65,1.0,65.0,-15061203.70370399,0.5546875
66,1.0,66.0,-15645691.82165967,0.546875
67,1.0,67.0,-16251930.949169451,0.59375
68,1.0,68.0,-16856843.58179271,0.5
69,1.0,69.0,-17487873.004997205,0.5390625
70,1.0,70.0,-18128337.987995774,0.5234375
71,1.0,71.0,-18786964.63920493,0.5625
72,1.0,72.0,-19445191.795104064,0.4921875
73,1.0,73.0,-20144550.704986136,0.625
74,1.0,74.0,-20838145.007648323,0.625
75,1.0,75.0,-21523696.127795245,0.4921875
76,1.0,76.0,-22259308.834416263,0.59375
77,1.0,77.0,-22977547.14386385,0.515625
78,2.0,0.0,-23725479.189034667,0.53125
79,2.0,1.0,-24247800.703386907,0.4921875
80,2.0,2.0,-24793004.999768168,0.5390625
81,2.0,3.0,-25337292.100689016,0.546875
82,2.0,4.0,-25883335.627642397,0.53125
83,2.0,5.0,-26444554.242791247,0.5625
84,2.0,6.0,-26990931.063558996,0.484375
85,2.0,7.0,-27562734.414134048,0.5078125
86,2.0,8.0,-28134583.0612729,0.5
87,2.0,9.0,-28733861.790896755,0.6171875
88,2.0,10.0,-29301078.525455058,0.515625
89,2.0,11.0,-29886293.309822794,0.484375
90,2.0,12.0,-30494827.416636903,0.5625
91,2.0,13.0,-31093760.980589833,0.546875
92,2.0,14.0,-31699511.35633698,0.5390625
