,lr,loss
0,-8.0,120.10556561509043
1,-7.883116883116883,126.12818125699657
2,-7.766233766233766,125.8529245187738
3,-7.649350649350649,126.89501831667619
4,-7.532467532467533,127.49637759696171
5,-7.415584415584416,127.2724669221017
6,-7.298701298701299,127.01176080594111
7,-7.181818181818182,126.1608628217692
8,-7.064935064935065,126.18636492298938
9,-6.948051948051948,126.72432739931058
10,-6.8311688311688314,125.89090436477825
11,-6.714285714285714,125.74972299745335
12,-6.597402597402597,126.23035464722624
13,-6.48051948051948,126.58838485617997
14,-6.363636363636363,126.849494284073
15,-6.246753246753246,126.7780213592247
16,-6.12987012987013,126.40930022355857
17,-6.012987012987013,126.60312926603538
18,-5.896103896103896,126.47523533218349
19,-5.779220779220779,125.98794550651183
20,-5.662337662337662,125.9257364233946
21,-5.545454545454545,125.76467987270625
22,-5.428571428571428,125.76758320650809
23,-5.311688311688312,125.87404969731712
24,-5.194805194805195,125.93436218086062
25,-5.077922077922078,125.94544255943129
26,-4.961038961038961,125.5650954642574
27,-4.844155844155844,125.63577575325253
28,-4.727272727272727,125.66256731787202
29,-4.6103896103896105,125.61453692239277
30,-4.4935064935064934,125.54941282831638
31,-4.376623376623376,125.9319900227371
32,-4.259740259740259,125.78215903604017
33,-4.142857142857142,125.70654805459625
34,-4.025974025974025,125.84899082681315
35,-3.9090909090909087,125.7675752141526
36,-3.7922077922077917,125.64941600592941
37,-3.6753246753246747,125.7232801749226
38,-3.558441558441558,125.91172915921169
39,-3.441558441558441,125.89688627755191
40,-3.324675324675324,126.14489478005903
41,-3.2077922077922074,126.0630341954978
42,-3.0909090909090904,126.02473260415833
43,-2.9740259740259734,125.95866747940048
44,-2.8571428571428568,126.10534433215366
45,-2.7402597402597397,126.00295882468787
46,-2.6233766233766227,125.95685855486346
47,-2.506493506493506,125.89550127767225
48,-2.389610389610389,125.8729844258108
49,-2.272727272727272,125.612231460644
50,-2.1558441558441555,125.30689508743659
51,-2.0389610389610384,125.1631845786494
52,-1.9220779220779214,124.8826301318549
53,-1.8051948051948046,124.45298441172051
54,-1.6883116883116878,123.68792422614872
55,-1.5714285714285707,122.88871031115059
56,-1.454545454545454,122.00105925414292
57,-1.337662337662337,120.54752195049609
58,-1.22077922077922,118.69358263031704
59,-1.1038961038961033,116.419518220432
60,-0.9870129870129863,114.36919489612754
61,-0.8701298701298694,112.23268590390141
62,-0.7532467532467526,110.51501867645078
63,-0.6363636363636357,108.46456183418712
64,-0.5194805194805188,107.76511272672046
65,-0.40259740259740184,107.91153097362437
66,-0.285714285714285,106.16752010498453
67,-0.16883116883116808,104.50996369481892
68,-0.05194805194805122,104.69440665950707
69,0.06493506493506564,103.75534160147181
70,0.18181818181818254,104.56447158916895
71,0.29870129870129947,105.07479724178202
72,0.4155844155844164,105.49700980418841
73,0.5324675324675333,104.16315688699778
74,0.6493506493506502,121.22719751335376
75,0.7662337662337672,121.75429944879247
76,0.8831168831168841,121.59331471767462
77,1.0000000000000009,121.10097990917075
